Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,-1107295228,1487800173,--,--
No,Ch,Hit,Time_H,Time_L,Energy
339,0,0x110121,0,222665600,11180
340,0,0x110121,0,223320960,11901
341,0,0x110121,0,223976320,11193
342,0,0x110121,0,224631680,11177
343,0,0x110121,0,225287040,11181
344,0,0x110121,0,225942400,11192
345,0,0x110121,0,226597760,11186
346,0,0x110121,0,227253120,11186
347,0,0x110121,0,227908480,11190
348,0,0x110121,0,228563840,11901
349,0,0x110121,0,229219200,11187
350,0,0x110121,0,229874560,11195
351,0,0x110121,0,230529920,11188
352,0,0x110121,0,231185280,11189
353,0,0x110121,0,231840640,11182
354,0,0x110121,0,232496000,11191
355,0,0x110121,0,233151360,10068
356,0,0x110121,0,233806720,11188
357,0,0x110121,0,234462080,11186
358,0,0x110121,0,235117440,11811
359,0,0x110121,0,235772800,11188
360,0,0x110121,0,236428160,11194
361,0,0x110121,0,237083520,11183
362,0,0x110121,0,237738880,11189
363,0,0x110121,0,238394240,11180
364,0,0x110121,0,239049600,11184
365,0,0x110121,0,239704960,11186
366,0,0x110121,0,240360320,11186
367,0,0x110121,0,241015680,10783
368,0,0x110121,0,241671040,11195
369,0,0x110121,0,242326400,11180
370,0,0x110121,0,242981760,11852
371,0,0x110121,0,243637120,11185
372,0,0x110121,0,244292480,11196
373,0,0x110121,0,244947840,11183
374,0,0x110121,0,245603200,11192
375,0,0x110121,0,246258560,11177
376,0,0x110121,0,246913920,11190
377,0,0x110121,0,247569280,11192
378,0,0x110121,0,248224640,11184
379,0,0x110121,0,248880000,11198
380,0,0x110121,0,249535360,11186
381,0,0x110121,0,250190720,11198
382,0,0x110121,0,250846080,11189
383,0,0x110121,0,251501440,11197
384,0,0x110121,0,252156800,11185
385,0,0x110121,0,252812160,11194
386,0,0x110121,0,253467520,11195
387,0,0x110121,0,254122880,9860
388,0,0x110121,0,254778240,11184
389,0,0x110121,0,255433600,11182
390,0,0x110121,0,256088960,11451
391,0,0x110121,0,256744320,11193
392,0,0x110121,0,257399680,11190
393,0,0x110121,0,258055040,11194
394,0,0x110121,0,258710400,11184
395,0,0x110121,0,259365760,11187
396,0,0x110121,0,260021120,8650
397,0,0x110121,0,260676480,11192
398,0,0x110121,0,261331840,11182
399,0,0x110121,0,261987200,11328
400,0,0x110121,0,262642560,11175
401,0,0x110121,0,263297920,11190
402,0,0x110121,0,263953280,11822
403,0,0x110121,0,264608640,11177
404,0,0x110121,0,265264000,11193
405,0,0x110121,0,265919360,11195
406,0,0x110121,0,266574720,11185
407,0,0x110121,0,267230080,11177
408,0,0x110121,0,267885440,11184
409,0,0x110121,0,268540800,11092
410,0,0x110121,0,269196160,11190
411,0,0x110121,0,269851520,11193
412,0,0x110121,0,270506880,11724
413,0,0x110121,0,271162240,11177
414,0,0x110121,0,271817600,11191
415,0,0x110121,0,272472960,11167
416,0,0x110121,0,273128320,11185
417,0,0x110121,0,273783680,11188
418,0,0x110121,0,274439040,11184
419,0,0x110121,0,275094400,11189
420,0,0x110121,0,275749760,11187
421,0,0x110121,0,276405120,11186
422,0,0x110121,0,277060480,11189
423,0,0x110121,0,277715840,9970
424,0,0x110121,0,278371200,11201
425,0,0x110121,0,279026560,11186
426,0,0x110121,0,279681920,11199
427,0,0x110121,0,280337280,11192
428,0,0x110121,0,280992640,11189
429,0,0x110121,0,281648000,11190
430,0,0x110121,0,282303360,11192
431,0,0x110121,0,282958720,11183
432,0,0x110121,0,283614080,11195
433,0,0x110121,0,284269440,11177
434,0,0x110121,0,284924800,11186
435,0,0x110121,0,285580160,11205
436,0,0x110121,0,286235520,11193
437,0,0x110121,0,286890880,8874
438,0,0x110121,0,287546240,11189
439,0,0x110121,0,288201600,11665
440,0,0x110121,0,288856960,11189
441,0,0x110121,0,289512320,11188
442,0,0x110121,0,290167680,11199
443,0,0x110121,0,290823040,11197
444,0,0x110121,0,291478400,11188
445,0,0x110121,0,292133760,11190
446,0,0x110121,0,292789120,11186
447,0,0x110121,0,293444480,11193
448,0,0x110121,0,294099840,11195
449,0,0x110121,0,294755200,11192
450,0,0x110121,0,295410560,11197
451,0,0x110121,0,296065920,11184
452,0,0x110121,0,296721280,11182
453,0,0x110121,0,297376640,11190
454,0,0x110121,0,298032000,11297
455,0,0x110121,0,298687360,11200
456,0,0x110121,0,299342720,11195
457,0,0x110121,0,299998080,11191
458,0,0x110121,0,300653440,11190
459,0,0x110121,0,301308800,11193
460,0,0x110121,0,301964160,11183
461,0,0x110121,0,302619520,11193
462,0,0x110121,0,303274880,11195
463,0,0x110121,0,303930240,11195
464,0,0x110121,0,304585600,10645
465,0,0x110121,0,305240960,11194
466,0,0x110121,0,305896320,11201
467,0,0x110121,0,306551680,11917
468,0,0x110121,0,307207040,11192
469,0,0x110121,0,307862400,11184
470,0,0x110121,0,308517760,11187
471,0,0x110121,0,309173120,11190
472,0,0x110121,0,309828480,11199
473,0,0x110121,0,310483840,9016
474,0,0x110121,0,311139200,11185
475,0,0x110121,0,311794560,11189
476,0,0x110121,0,312449920,11160
477,0,0x110121,0,313105280,11199
478,0,0x110121,0,313760640,11188
479,0,0x110121,0,314416000,11858
480,0,0x110121,0,315071360,11196
481,0,0x110121,0,315726720,11185
482,0,0x110121,0,316382080,11189
483,0,0x110121,0,317037440,11200
484,0,0x110121,0,317692800,11198
485,0,0x110121,0,318348160,11191
486,0,0x110121,0,319003520,9017
487,0,0x110121,0,319658880,11187
488,0,0x110121,0,320314240,11195
489,0,0x110121,0,320969600,10806
490,0,0x110121,0,321624960,11191
491,0,0x110121,0,322280320,11188
492,0,0x110121,0,322935680,11599
493,0,0x110121,0,323591040,11180
494,0,0x110121,0,324246400,11193
495,0,0x110121,0,324901760,11930
496,0,0x110121,0,325557120,11180
497,0,0x110121,0,326212480,11180
498,0,0x110121,0,326867840,11195
499,0,0x110121,0,327523200,11188
500,0,0x110121,0,328178560,11191
501,0,0x110121,0,328833920,11190
502,0,0x110121,0,329489280,11872
503,0,0x110121,0,330144640,11190
504,0,0x110121,0,330800000,11187
505,0,0x110121,0,331455360,11194
506,0,0x110121,0,332110720,11191
507,0,0x110121,0,332766080,11189
508,0,0x110121,0,333421440,11192
509,0,0x110121,0,334076800,11189
510,0,0x110121,0,334732160,8798
