sample,adc0,adc1,adc2,adc3
 625,1409,256,0,0
 626,1407,255,0,0
 627,1407,256,0,0
 628,1408,256,0,0
 629,1408,257,0,0
 630,1407,257,0,0
 631,1407,255,0,0
 632,1407,255,0,0
 633,1407,256,0,0
 634,1407,255,0,0
 635,1407,256,0,0
 636,1408,256,0,0
 637,1407,256,0,0
 638,1407,255,0,0
 639,1407,257,0,0
 640,1406,256,0,0
 641,1407,256,0,0
 642,1408,256,0,0
 643,1407,257,0,0
 644,1407,256,0,0
 645,1407,256,0,0
 646,1408,256,0,0
 647,1407,256,0,0
 648,1407,256,0,0
 649,1407,257,0,0
 650,1407,256,0,0
 651,1407,256,0,0
 652,1407,256,0,0
 653,1407,257,0,0
 654,1406,256,0,0
 655,1407,256,0,0
 656,1408,256,0,0
 657,1407,257,0,0
 658,1407,256,0,0
 659,1407,257,0,0
 660,1407,257,0,0
 661,1407,256,0,0
 662,1407,256,0,0
 663,1407,257,0,0
 664,1406,256,0,0
 665,1407,257,0,0
 666,1407,256,0,0
 667,1407,257,0,0
 668,1407,256,0,0
 669,1407,256,0,0
 670,1407,256,0,0
 671,1407,256,0,0
 672,1407,256,0,0
 673,1407,256,0,0
 674,1407,256,0,0
 675,1408,256,0,0
 676,1407,256,0,0
 677,1407,256,0,0
 678,1407,256,0,0
 679,1407,257,0,0
 680,1407,256,0,0
 681,1408,255,0,0
 682,1407,256,0,0
 683,1406,256,0,0
 684,1407,256,0,0
 685,1407,257,0,0
 686,1407,257,0,0
 687,1407,257,0,0
 688,1407,256,0,0
 689,1406,257,0,0
 690,1407,257,0,0
 691,1407,257,0,0
 692,1407,257,0,0
 693,1407,256,0,0
 694,1407,256,0,0
 695,1405,257,0,0
 696,1407,256,0,0
 697,1406,257,0,0
 698,1406,257,0,0
 699,1407,256,0,0
 700,1406,256,0,0
 701,1406,256,0,0
 702,1406,256,0,0
 703,1406,256,0,0
 704,1406,256,0,0
 705,1407,256,0,0
 706,1407,257,0,0
 707,1407,256,0,0
 708,1407,257,0,0
 709,1407,257,0,0
 710,1406,256,0,0
 711,1406,256,0,0
 712,1407,255,0,0
 713,1406,256,0,0
 714,1407,256,0,0
 715,1406,256,0,0
 716,1407,257,0,0
 717,1407,256,0,0
 718,1406,257,0,0
 719,1407,255,0,0
 720,1407,256,0,0
 721,1406,256,0,0
 722,1407,256,0,0
 723,1407,256,0,0
 724,1407,256,0,0
 725,1407,256,0,0
 726,1406,256,0,0
 727,1407,256,0,0
 728,1407,256,0,0
 729,1407,257,0,0
 730,1407,256,0,0
 731,1406,256,0,0
 732,1407,256,0,0
 733,1407,257,0,0
 734,1407,256,0,0
