sample,adc0,adc1,adc2,adc3
 569,54484,1312,1283,1201
 570,54504,1313,1283,1203
 571,54498,1311,1283,1204
 572,54492,1311,1280,1202
 573,54503,1312,1283,1202
 574,54502,1313,1283,1200
 575,54500,1311,1283,1201
 576,54513,1313,1284,1200
 577,54512,1312,1282,1202
 578,54516,1313,1282,1200
 579,54522,1311,1282,1202
 580,54524,1312,1284,1200
 581,54527,1312,1283,1202
 582,54534,1312,1284,1202
 583,54542,1310,1283,1202
 584,54545,1311,1281,1203
 585,54541,1311,1282,1202
 586,54545,1311,1284,1201
 587,54546,1310,1284,1202
 588,54547,1311,1284,1203
 589,54564,1310,1282,1202
 590,54553,1309,1282,1204
 591,54568,1312,1283,1201
 592,54567,1310,1284,1203
 593,54569,1314,1282,1200
 594,54578,1312,1284,1202
 595,54578,1311,1281,1203
 596,54580,1309,1283,1202
 597,54585,1314,1281,1200
 598,54579,1310,1284,1202
 599,54586,1313,1284,1201
 600,54586,1310,1284,1203
 601,54578,1314,1282,1201
 602,54592,1312,1284,1200
 603,54597,1311,1283,1201
 604,54598,1310,1284,1203
 605,54599,1313,1283,1202
 606,54599,1310,1283,1201
 607,54606,1313,1282,1202
 608,54605,1309,1284,1202
 609,54607,1311,1281,1203
 610,54609,1311,1284,1199
 611,54623,1313,1281,1203
 612,54623,1310,1284,1202
 613,54621,1311,1283,1201
 614,54628,1313,1282,1203
 615,54634,1309,1283,1201
 616,54642,1313,1283,1201
 617,54638,1309,1284,1204
 618,54644,1314,1281,1203
 619,54654,1310,1284,1201
 620,54649,1313,1281,1203
 621,54653,1309,1283,1203
 622,54658,1312,1284,1203
 623,54666,1309,1284,1203
 624,54661,1314,1284,1201
 625,54670,1311,1285,1202
 626,54657,1313,1283,1203
 627,54666,1309,1283,1200
 628,54664,1312,1283,1201
 629,54662,1310,1284,1202
 630,54673,1310,1283,1202
 631,54666,1313,1282,1200
 632,54668,1312,1282,1202
 633,54670,1312,1281,1201
 634,54672,1311,1284,1201
 635,54667,1312,1281,1201
 636,54670,1311,1283,1202
 637,54675,1314,1282,1200
 638,54679,1313,1284,1202
 639,54671,1310,1283,1203
 640,54677,1313,1283,1202
 641,54675,1311,1282,1201
 642,54686,1311,1283,1202
 643,54688,1310,1283,1201
 644,54683,1311,1281,1200
 645,54689,1311,1281,1202
 646,54688,1312,1282,1198
 647,54695,1311,1282,1202
 648,54692,1313,1281,1202
 649,54698,1310,1284,1204
 650,54700,1312,1282,1203
 651,54712,1310,1283,1201
 652,54703,1312,1282,1200
 653,54709,1311,1284,1203
 654,54707,1311,1282,1202
 655,54712,1310,1283,1203
 656,54705,1313,1285,1201
 657,54714,1312,1283,1202
 658,54716,1311,1283,1201
 659,54718,1310,1286,1202
 660,54713,1314,1285,1202
 661,54719,1311,1295,1202
 662,54713,1311,1284,1202
 663,54718,1312,1283,1202
 664,54719,1311,1282,1201
 665,54714,1309,1283,1201
 666,54708,1312,1284,1203
 667,54707,1311,1282,1202
 668,54708,1312,1283,1202
 669,54715,1310,1281,1200
 670,54712,1309,1283,1202
 671,54710,1313,1283,1204
 672,54719,1310,1285,1202
 673,54720,1312,1283,1204
 674,54713,1310,1283,1202
 675,54716,1313,1283,1201
 676,54715,1309,1284,1203
 677,54715,1313,1284,1203
 678,54715,1311,1281,1201
 679,54717,1313,1283,1203
 680,54717,1310,1284,1202
 681,54726,1313,1283,1201
 682,54723,1309,1282,1201
 683,54722,1311,1284,1203
 684,54728,1311,1282,1202
 685,54731,1311,1282,1203
 686,54729,1312,1284,1200
 687,54732,1310,1283,1203
 688,54736,1312,1283,1201
 689,54744,1310,1283,1203
 690,54741,1313,1283,1201
 691,54744,1310,1283,1201
 692,54743,1312,1284,1202
 693,54732,1309,1283,1203
 694,54737,1312,1285,1205
 695,54738,1312,1283,1203
 696,54745,1312,1284,1202
 697,54744,1311,1283,1202
 698,54750,1311,1284,1202
 699,54742,1311,1283,1202
 700,54740,1312,1284,1201
 701,54751,1312,1284,1201
 702,54751,1311,1283,1204
 703,54749,1311,1282,1202
 704,54746,1313,1284,1203
 705,54751,1310,1282,1200
 706,54758,1312,1284,1202
 707,54764,1310,1282,1201
 708,54757,1312,1284,1203
 709,54756,1309,1283,1201
 710,54757,1310,1283,1200
 711,54755,1313,1281,1203
 712,54751,1312,1285,1203
 713,54752,1312,1283,1202
 714,54749,1312,1283,1203
 715,54756,1313,1281,1203
 716,54749,1310,1284,1199
 717,54756,1313,1285,1201
 718,54744,1311,1284,1201
 719,54759,1313,1285,1203
 720,54756,1310,1283,1202
 721,54755,1312,1284,1202
 722,54747,1310,1283,1203
 723,54757,1315,1284,1202
 724,54759,1309,1283,1201
 725,54754,1313,1284,1201
 726,54759,1311,1282,1201
 727,54759,1312,1283,1201
 728,54757,1311,1281,1201
 729,54754,1311,1284,1201
 730,54748,1310,1282,1200
 731,54745,1311,1284,1203
 732,54747,1309,1283,1201
 733,54751,1311,1284,1203
 734,54738,1312,1282,1201
 735,54737,1310,1283,1202
 736,54746,1312,1281,1203
 737,54742,1311,1285,1201
 738,54741,1311,1284,1202
 739,54747,1310,1285,1202
 740,54756,1311,1283,1203
 741,54753,1310,1284,1202
 742,54752,1311,1283,1202
 743,54757,1310,1284,1199
 744,54756,1313,1282,1201
 745,54758,1311,1284,1201
 746,54753,1313,1283,1202
 747,54751,1311,1283,1201
 748,54759,1314,1283,1203
 749,54758,1311,1285,1200
 750,54757,1312,1283,1204
 751,54759,1310,1282,1201
 752,54759,1312,1284,1201
 753,54767,1310,1281,1202
 754,54760,1313,1284,1202
 755,54770,1310,1282,1200
 756,54759,1313,1284,1202
 757,54768,1310,1282,1203
 758,54771,1311,1282,1200
 759,54768,1312,1282,1202
 760,54766,1312,1284,1203
 761,54763,1312,1285,1202
 762,54763,1313,1285,1199
 763,54765,1311,1285,1203
 764,54771,1311,1284,1200
 765,54763,1311,1283,1203
 766,54770,1312,1283,1203
 767,54766,1312,1282,1202
 768,54762,1311,1284,1201
 769,54769,1310,1284,1203
 770,54770,1314,1282,1203
 771,54773,1310,1282,1203
 772,54768,1311,1283,1202
 773,54763,1310,1283,1203
 774,54770,1311,1283,1203
 775,54766,1314,1283,1200
 776,54767,1311,1284,1202
 777,54762,1313,1283,1200
 778,54774,1310,1281,1203
 779,54770,1313,1283,1200
 780,54772,1311,1285,1203
 781,54778,1312,1283,1201
 782,54784,1312,1282,1203
 783,54781,1312,1282,1201
 784,54769,1310,1283,1202
 785,54771,1312,1284,1202
 786,54776,1310,1284,1201
 787,54775,1313,1282,1203
 788,54770,1309,1283,1201
 789,54779,1313,1283,1203
 790,54779,1311,1283,1201
 791,54772,1313,1283,1202
 792,54770,1311,1281,1199
 793,54775,1312,1283,1203
 794,54784,1310,1282,1200
 795,54784,1312,1283,1202
 796,54774,1311,1283,1200
 797,54780,1312,1283,1203
 798,54783,1313,1284,1202
 799,54780,1311,1285,1204
 800,54786,1312,1282,1203
 801,54792,1310,1283,1201
 802,54788,1314,1283,1201
 803,54781,1312,1282,1202
 804,54783,1312,1283,1203
 805,54787,1310,1282,1202
 806,54788,1313,1284,1203
 807,54793,1311,1282,1203
 808,54789,1312,1281,1202
 809,54790,1309,1283,1201
 810,54790,1313,1285,1201
 811,54790,1312,1284,1203
 812,54785,1312,1282,1201
 813,54782,1309,1284,1202
 814,54776,1311,1283,1202
 815,54783,1310,1284,1202
 816,54785,1313,1283,1202
 817,54783,1310,1283,1202
 818,54785,1310,1284,1202
 819,54786,1311,1283,1201
 820,54785,1313,1283,1201
 821,54789,1311,1283,1201
 822,54796,1310,1284,1201
 823,54788,1311,1281,1203
 824,54797,1310,1285,1203
 825,54797,1312,1283,1203
 826,54791,1309,1283,1202
 827,54802,1313,1282,1203
 828,54800,1309,1283,1201
 829,54794,1311,1285,1203
 830,54792,1310,1283,1200
 831,54803,1312,1283,1203
 832,54799,1310,1284,1202
 833,54803,1312,1281,1203
